Machine_ID,Temperature,Run_Time,Downtime_Flag
Machine_155,29.68,56,0
Machine_156,37.98,109,1
Machine_157,47.05,110,0
Machine_158,67.06,55,0
Machine_159,38.41,71,1
Machine_160,37.62,169,0
Machine_161,25.68,256,0
Machine_162,70.49,247,0
Machine_163,38.32,278,0
Machine_164,92.43,256,0
Machine_165,88.77,242,0
Machine_166,25.67,169,1
Machine_167,39.04,140,0
Machine_168,73.52,292,0
Machine_169,37.14,88,0
Machine_170,30.58,206,0
Machine_171,94.84,250,0
Machine_172,65.68,86,0
Machine_173,57.81,175,1
Machine_174,82.77,279,1
Machine_175,84.6,299,0
Machine_176,35.23,187,1
Machine_177,27.75,53,1
Machine_178,54.48,142,0
Machine_179,53.89,232,0
Machine_180,57.36,58,1
Machine_181,78.33,33,0
Machine_182,73.87,134,0
Machine_183,98.73,184,1
Machine_184,27.87,138,1
Machine_185,52.21,100,0
Machine_186,47.14,160,1
Machine_187,88.93,178,0
Machine_188,39.89,197,0
Machine_189,35.22,91,0
Machine_190,55.89,33,0
Machine_191,53.75,284,0
Machine_192,42.28,250,0
Machine_193,39.98,119,1
Machine_194,93.86,96,1
Machine_195,55.45,224,1
Machine_196,88.91,147,1
Machine_197,64.03,286,0
Machine_198,24.05,211,1
Machine_199,99.94,66,1
Machine_200,86.88,233,1
Machine_201,97.52,51,0
Machine_202,94.11,253,0
Machine_203,87.9,39,1
Machine_204,33.3,265,0
Machine_205,58.85,69,0
Machine_206,37.1,190,0
Machine_207,52.08,249,1
Machine_208,24.69,237,1
Machine_209,50.32,243,1
Machine_210,98.82,178,1
Machine_211,41.22,88,0
Machine_212,82.73,237,0
Machine_213,56.4,40,0
Machine_214,53.84,196,0
Machine_215,96.59,117,1
Machine_216,99.63,265,1
Machine_217,64.46,215,1
Machine_218,77.47,75,0
Machine_219,32.38,253,0
Machine_220,43.74,84,0
Machine_221,97.5,154,0
Machine_222,66.33,253,1
Machine_223,63.38,235,1
Machine_224,79.84,298,0
Machine_225,24.57,70,0
Machine_226,66.73,232,1
Machine_227,60.23,188,0
Machine_228,88.22,203,0
Machine_229,32.59,143,1
Machine_230,96.86,200,0
Machine_231,26.41,116,0
Machine_232,34.87,69,0
Machine_233,67.6,291,1
Machine_234,74.02,88,0
Machine_235,38.82,291,1
Machine_236,29.59,129,0
Machine_237,91.22,208,0
Machine_238,39.7,209,1
Machine_239,67.56,105,1
Machine_240,69.55,150,1
Machine_241,53.54,82,0
Machine_242,66.69,104,0
Machine_243,61.82,161,1
Machine_244,94.78,131,0
Machine_245,36.34,118,0
Machine_246,77.3,108,1
Machine_247,39.09,68,0
Machine_248,51.66,120,0
Machine_249,73.74,282,1
Machine_250,44.0,267,1
Machine_251,45.29,259,1
Machine_252,80.15,195,0
Machine_253,25.8,191,1
Machine_254,56.66,107,1
Machine_255,99.88,255,1
Machine_256,99.69,64,0
Machine_257,25.86,270,1
Machine_258,37.05,256,1
Machine_259,41.22,185,1
Machine_260,94.66,170,0
Machine_261,90.47,58,1
Machine_262,90.34,210,0
Machine_263,49.56,289,1
Machine_264,32.62,67,0
Machine_265,86.7,188,0
Machine_266,76.28,266,0
Machine_267,68.93,261,1
Machine_268,98.98,49,0
Machine_269,72.32,59,1
Machine_270,20.63,218,0
Machine_271,85.37,176,1
Machine_272,43.95,69,1
Machine_273,73.07,76,1
Machine_274,95.11,289,0
Machine_275,30.74,226,0
Machine_276,29.23,266,0
Machine_277,28.56,51,1
Machine_278,64.26,260,1
Machine_279,41.79,126,1
Machine_280,68.39,194,1
Machine_281,77.41,273,0
Machine_282,36.29,286,0
Machine_283,70.74,107,0
Machine_284,41.12,61,0
Machine_285,59.08,260,1
Machine_286,92.43,82,1
Machine_287,87.69,205,1
Machine_288,27.38,73,0
Machine_289,53.89,288,0
Machine_290,42.13,118,0
Machine_291,20.28,50,1
Machine_292,81.69,156,0
Machine_293,70.97,254,1
Machine_294,40.96,254,1
Machine_295,79.3,298,0
Machine_296,64.13,297,1
Machine_297,54.21,111,1
Machine_298,20.77,216,1
Machine_299,26.02,220,0
Machine_300,90.65,174,0
Machine_301,92.31,228,0
Machine_302,63.65,239,1
Machine_303,86.77,203,0
Machine_304,66.6,56,0
Machine_305,31.85,201,1
Machine_306,30.2,63,1
Machine_307,44.66,198,1
Machine_308,91.92,78,1
Machine_309,83.69,227,0
Machine_310,88.86,175,0
Machine_311,91.91,159,0
Machine_312,36.81,106,1
Machine_313,39.96,200,1
Machine_314,28.22,71,1
Machine_315,82.41,102,1
Machine_316,90.73,209,1
Machine_317,52.51,188,0
Machine_318,69.65,230,1
Machine_319,32.36,96,1
Machine_320,94.39,73,0
Machine_321,89.17,188,1
Machine_322,98.1,222,0
Machine_323,84.86,198,1
Machine_324,90.51,95,0
Machine_325,21.98,299,0
Machine_326,78.93,77,1
Machine_327,46.57,246,0
Machine_328,94.47,290,1
Machine_329,84.18,215,1
Machine_330,89.13,39,1
Machine_331,84.86,215,1
Machine_332,41.34,188,1
Machine_333,82.99,122,1
Machine_334,28.65,139,1
Machine_335,89.77,204,0
Machine_336,88.69,278,1
Machine_337,37.79,128,1
Machine_338,85.33,145,0
Machine_339,56.82,100,1
Machine_340,44.42,109,1
Machine_341,83.63,69,0
Machine_342,38.21,181,1
Machine_343,21.89,81,1
Machine_344,35.45,289,1
Machine_345,46.26,299,1
Machine_346,89.15,49,0
Machine_347,97.35,202,1
Machine_348,42.33,97,1
Machine_349,71.32,222,1
Machine_350,51.97,108,1
Machine_351,98.49,113,1
Machine_352,62.9,122,0
Machine_353,95.14,114,0
Machine_354,29.23,254,0
Machine_355,97.63,52,0
Machine_356,34.29,240,1
Machine_357,97.0,216,0
Machine_358,41.24,151,1
Machine_359,28.67,257,1
Machine_360,54.77,175,0
Machine_361,78.28,259,1
Machine_362,45.09,149,1
Machine_363,68.5,152,0
Machine_364,60.91,188,1
Machine_365,50.82,270,0
Machine_366,66.13,129,1
Machine_367,40.38,218,0
Machine_368,76.7,255,1
Machine_369,20.14,266,1
Machine_370,94.05,174,0
Machine_371,63.08,225,1
Machine_372,77.55,287,1
Machine_373,79.36,300,1
Machine_374,73.65,244,1
Machine_375,49.14,112,0
Machine_376,25.6,132,1
Machine_377,73.14,100,0
Machine_378,46.42,158,0
Machine_379,45.11,56,0
Machine_380,87.84,276,1
Machine_381,77.58,220,0
Machine_382,44.03,82,0
Machine_383,44.74,294,1
Machine_384,52.67,93,1
Machine_385,52.19,175,1
Machine_386,43.65,72,0
Machine_387,30.18,112,0
Machine_388,53.64,169,0
Machine_389,95.23,260,1
Machine_390,74.19,292,0
Machine_391,92.22,105,0
Machine_392,69.24,253,1
Machine_393,44.08,76,1
Machine_394,63.83,143,1
Machine_395,20.03,260,1
Machine_396,42.95,208,0
Machine_397,54.39,43,1
Machine_398,66.4,242,0
Machine_399,72.38,57,1
Machine_400,57.2,232,0
Machine_401,55.37,287,1
Machine_402,37.1,221,1
Machine_403,57.85,150,0
Machine_404,92.09,227,0
Machine_405,83.68,71,0
Machine_406,33.58,221,1
Machine_407,26.78,144,1
Machine_408,61.24,44,1
Machine_409,70.64,193,1
Machine_410,46.82,80,0
Machine_411,85.47,201,1
Machine_412,80.09,104,1
Machine_413,73.82,100,1
Machine_414,37.97,49,0
Machine_415,35.93,176,1
Machine_416,21.95,271,1
Machine_417,39.59,101,1
Machine_418,58.01,270,0
Machine_419,87.98,259,1
Machine_420,25.83,32,0
Machine_421,53.16,70,0
Machine_422,70.38,39,0
Machine_423,35.55,161,1
Machine_424,75.71,140,0
Machine_425,59.55,106,0
Machine_426,39.52,300,0
Machine_427,72.48,246,0
Machine_428,20.44,86,0
Machine_429,80.08,177,1
Machine_430,81.6,151,1
Machine_431,28.53,184,1
Machine_432,54.01,92,0
Machine_433,34.07,54,1
Machine_434,96.64,152,0
Machine_435,61.44,244,0
Machine_436,24.02,264,1
Machine_437,39.94,62,1
Machine_438,87.87,86,0
Machine_439,56.52,285,0
Machine_440,84.11,38,1
Machine_441,73.41,293,1
Machine_442,99.03,153,1
Machine_443,67.64,103,0
Machine_444,96.0,179,0
Machine_445,91.31,249,0
Machine_446,69.01,30,1
Machine_447,77.54,210,0
Machine_448,60.38,153,0
Machine_449,86.45,243,0
Machine_450,63.83,125,1
Machine_451,91.78,73,1
Machine_452,79.49,298,0
Machine_453,57.97,214,1
Machine_454,40.74,64,0
Machine_455,39.78,299,1
Machine_456,71.01,289,1
Machine_457,81.27,289,1
Machine_458,61.7,40,1
Machine_459,70.14,229,1
Machine_460,41.97,270,0
Machine_461,26.2,52,1
Machine_462,42.86,228,1
Machine_463,41.74,221,1
Machine_464,45.58,159,0
Machine_465,63.21,38,1
Machine_466,31.07,212,0
Machine_467,38.5,64,0
Machine_468,75.52,206,1
Machine_469,76.51,153,0
Machine_470,25.14,83,0
Machine_471,52.61,200,1
Machine_472,63.41,98,0
Machine_473,53.26,52,0
Machine_474,36.55,210,1
Machine_475,53.61,203,0
Machine_476,92.39,119,1
Machine_477,66.73,267,1
Machine_478,75.64,275,0
Machine_479,88.54,123,1
Machine_480,81.25,99,1
Machine_481,50.43,62,0
Machine_482,20.47,264,1
Machine_483,48.14,48,0
Machine_484,80.28,180,0
Machine_485,88.28,133,1
Machine_486,96.27,52,1
Machine_487,53.52,132,0
Machine_488,79.8,51,0
Machine_489,63.69,191,1
Machine_490,68.26,188,1
Machine_491,37.64,293,0
Machine_492,37.55,233,1
Machine_493,54.87,272,0
Machine_494,22.32,159,1
Machine_495,46.89,48,0
Machine_496,74.33,127,0
Machine_497,52.35,176,1
Machine_498,33.2,212,1
Machine_499,57.39,54,1
Machine_500,30.21,199,1
Machine_501,69.78,169,1
Machine_502,22.16,93,1
Machine_503,51.52,218,1
Machine_504,65.15,253,0
Machine_505,22.17,234,0
Machine_506,71.42,255,0
Machine_507,30.86,227,0
Machine_508,56.94,203,1
Machine_509,24.02,125,0
Machine_510,50.33,284,1
Machine_511,36.93,284,0
Machine_512,46.15,218,1
Machine_513,80.9,295,0
Machine_514,50.33,166,1
Machine_515,80.16,72,1
Machine_516,86.55,247,0
Machine_517,40.18,70,0
Machine_518,26.55,250,1
Machine_519,21.55,122,1
Machine_520,63.15,180,0
Machine_521,99.99,194,1
Machine_522,48.0,82,0
Machine_523,72.01,70,1
Machine_524,82.5,197,0
Machine_525,72.14,181,0
Machine_526,80.34,186,1
Machine_527,95.97,258,0
Machine_528,35.95,248,1
Machine_529,21.63,115,1
Machine_530,32.19,257,1
Machine_531,30.1,209,0
Machine_532,73.56,258,1
Machine_533,65.12,51,0
Machine_534,37.44,210,0
Machine_535,75.96,252,0
Machine_536,81.35,170,1
Machine_537,33.42,59,1
Machine_538,68.58,68,0
Machine_539,79.83,237,0
Machine_540,29.16,216,0
Machine_541,85.54,292,0
Machine_542,97.18,111,0
Machine_543,28.65,45,1
Machine_544,22.05,103,1
Machine_545,44.96,254,0
Machine_546,74.19,47,1
Machine_547,96.65,94,1
Machine_548,51.73,64,1
Machine_549,77.2,150,1
Machine_550,26.08,217,0
Machine_551,75.25,215,0
Machine_552,70.18,226,1
Machine_553,28.15,46,0
Machine_554,81.8,108,1
Machine_555,88.02,260,0
Machine_556,68.03,219,0
Machine_557,29.68,220,0
Machine_558,98.71,257,0
Machine_559,82.61,69,1
Machine_560,47.78,100,0
Machine_561,54.27,217,1
Machine_562,49.65,233,1
Machine_563,60.48,190,0
Machine_564,47.3,172,1
Machine_565,87.97,157,1
Machine_566,85.79,88,1
Machine_567,28.44,43,1
Machine_568,96.86,125,0
Machine_569,70.85,285,0
Machine_570,86.3,295,1
Machine_571,76.58,228,1
Machine_572,54.84,90,1
Machine_573,78.7,164,1
Machine_574,97.24,163,1
Machine_575,41.61,258,1
Machine_576,84.66,139,0
Machine_577,63.05,176,0
Machine_578,58.68,281,1
Machine_579,54.85,132,1
Machine_580,78.48,92,0
Machine_581,41.47,99,1
Machine_582,88.14,67,0
Machine_583,86.46,261,1
Machine_584,26.93,118,0
Machine_585,90.53,257,1
Machine_586,39.51,74,1
Machine_587,57.18,193,1
Machine_588,68.83,207,1
Machine_589,50.32,63,1
Machine_590,22.3,178,0
Machine_591,88.08,183,1
Machine_592,34.55,110,1
Machine_593,36.97,119,0
Machine_594,83.83,215,0
Machine_595,47.23,290,0
Machine_596,90.43,144,1
Machine_597,76.09,92,0
Machine_598,42.1,132,0
Machine_599,20.81,101,0
Machine_600,95.85,151,1
Machine_601,26.85,282,1
Machine_602,77.61,43,0
Machine_603,59.09,214,1
Machine_604,80.65,218,0
Machine_605,75.25,269,0
Machine_606,71.67,96,1
Machine_607,59.27,74,0
Machine_608,83.43,63,1
Machine_609,27.44,188,0
Machine_610,37.73,233,1
Machine_611,75.34,275,1
Machine_612,44.5,299,0
Machine_613,66.52,240,1
Machine_614,57.86,239,0
Machine_615,62.47,67,0
Machine_616,54.04,94,1
Machine_617,79.67,192,1
Machine_618,46.46,67,0
Machine_619,76.23,260,1
Machine_620,41.67,268,0
Machine_621,40.11,294,0
Machine_622,29.65,206,0
Machine_623,35.41,95,0
Machine_624,29.56,123,1
Machine_625,62.87,96,0
Machine_626,80.98,251,0
Machine_627,34.81,287,0
Machine_628,37.31,58,1
Machine_629,58.74,93,0
Machine_630,77.97,295,0
Machine_631,98.13,108,1
Machine_632,61.97,185,0
Machine_633,42.64,114,1
Machine_634,28.04,112,0
Machine_635,35.53,195,1
Machine_636,38.2,145,0
Machine_637,34.36,207,0
Machine_638,21.13,295,1
Machine_639,62.73,175,0
Machine_640,41.94,70,0
Machine_641,97.94,158,0
Machine_642,64.27,130,1
Machine_643,75.79,170,1
Machine_644,30.1,94,1
Machine_645,89.48,185,0
Machine_646,59.27,77,1
Machine_647,89.82,287,0
Machine_648,65.93,116,0
Machine_649,57.55,108,0
Machine_650,55.24,117,0
Machine_651,34.75,202,0
Machine_652,24.11,51,1
Machine_653,95.29,44,1
Machine_654,58.22,71,0
Machine_655,85.77,53,0
Machine_656,52.06,165,1
Machine_657,25.93,137,1
Machine_658,70.36,243,0
Machine_659,24.29,45,0
Machine_660,31.94,284,0
Machine_661,65.03,178,0
Machine_662,44.31,184,0
Machine_663,99.51,277,1
Machine_664,29.48,155,1
Machine_665,81.16,237,1
Machine_666,68.51,182,1
Machine_667,83.26,262,0
Machine_668,38.05,67,0
Machine_669,61.81,60,1
Machine_670,56.04,110,0
Machine_671,55.42,255,0
Machine_672,88.81,242,1
Machine_673,99.2,277,0
Machine_674,44.43,267,1
Machine_675,69.68,134,0
Machine_676,68.77,204,0
Machine_677,79.21,103,1
Machine_678,95.81,190,1
Machine_679,36.62,193,0
Machine_680,36.88,206,0
Machine_681,72.83,234,1
Machine_682,32.56,96,1
Machine_683,33.91,219,0
Machine_684,26.01,293,0
Machine_685,20.21,84,1
Machine_686,56.04,193,0
Machine_687,67.5,153,0
Machine_688,43.3,268,1
Machine_689,38.52,92,1
Machine_690,76.56,166,0
Machine_691,76.24,260,1
Machine_692,56.32,156,1
Machine_693,74.99,102,1
Machine_694,93.91,79,0
Machine_695,83.03,55,1
Machine_696,70.0,178,0
Machine_697,72.89,226,0
Machine_698,94.69,244,0
Machine_699,54.01,157,0
Machine_700,63.56,111,1
Machine_701,71.81,197,0
Machine_702,92.67,190,0
Machine_703,86.13,127,0
Machine_704,25.71,111,1
Machine_705,33.27,285,1
Machine_706,44.61,293,1
Machine_707,79.92,269,1
Machine_708,65.54,285,1
Machine_709,43.09,187,0
Machine_710,29.95,284,0
Machine_711,75.09,41,1
Machine_712,75.98,76,0
Machine_713,95.41,231,1
Machine_714,60.04,288,0
Machine_715,59.5,264,0
Machine_716,26.44,153,0
Machine_717,23.19,140,1
Machine_718,54.56,210,1
Machine_719,45.79,54,0
Machine_720,40.03,55,1
Machine_721,27.31,174,1
Machine_722,96.95,283,0
Machine_723,86.88,270,0
Machine_724,66.02,176,0
Machine_725,96.06,34,0
Machine_726,99.97,85,1
Machine_727,73.78,250,0
Machine_728,41.56,98,1
Machine_729,23.22,165,0
Machine_730,80.5,217,1
Machine_731,57.64,236,0
Machine_732,72.12,217,0
Machine_733,93.29,53,0
Machine_734,34.52,235,0
Machine_735,66.83,56,0
Machine_736,70.78,129,0
Machine_737,59.34,215,1
Machine_738,27.3,177,1
Machine_739,47.84,67,1
Machine_740,46.66,227,0
Machine_741,73.61,288,1
Machine_742,88.62,260,0
Machine_743,46.38,173,1
Machine_744,75.49,90,0
Machine_745,43.06,95,0
Machine_746,95.62,79,1
Machine_747,85.09,231,1
Machine_748,64.01,221,1
Machine_749,56.39,203,0
Machine_750,45.16,217,1
Machine_751,45.86,103,0
Machine_752,97.61,131,1
Machine_753,52.33,290,1
Machine_754,61.17,235,1
Machine_755,99.05,286,0
Machine_756,72.61,50,1
Machine_757,63.41,53,0
Machine_758,53.06,49,1
Machine_759,35.01,100,0
Machine_760,48.94,200,1
Machine_761,80.52,272,0
Machine_762,70.03,295,0
Machine_763,80.8,263,0
Machine_764,36.28,106,0
Machine_765,63.94,293,0
Machine_766,94.21,101,0
Machine_767,55.05,197,0
Machine_768,75.86,193,0
Machine_769,29.71,113,1
Machine_770,97.85,231,1
Machine_771,68.71,183,1
Machine_772,39.14,202,0
Machine_773,32.67,289,0
Machine_774,64.07,290,0
Machine_775,64.18,280,1
Machine_776,27.46,183,0
Machine_777,99.38,273,1
Machine_778,93.03,38,0
Machine_779,56.92,218,1
Machine_780,29.4,199,1
Machine_781,86.57,86,1
Machine_782,59.87,243,0
Machine_783,77.33,187,1
Machine_784,60.71,43,0
Machine_785,41.87,272,0
Machine_786,86.78,165,0
Machine_787,98.42,146,0
Machine_788,39.5,56,0
Machine_789,64.1,275,1
Machine_790,50.69,117,0
Machine_791,93.75,298,1
Machine_792,60.66,224,1
Machine_793,90.35,105,1
Machine_794,89.12,154,1
Machine_795,42.1,46,0
Machine_796,83.2,86,1
Machine_797,53.2,127,0
Machine_798,94.74,39,1
Machine_799,60.62,255,0
Machine_800,85.64,190,1
Machine_801,42.63,244,1
Machine_802,43.88,107,0
Machine_803,66.96,241,1
Machine_804,99.91,134,1
Machine_805,59.17,240,1
Machine_806,31.89,286,0
Machine_807,63.09,271,0
Machine_808,47.61,61,0
Machine_809,64.15,100,0
Machine_810,63.47,295,1
Machine_811,56.43,136,0
Machine_812,45.74,196,0
Machine_813,35.09,274,1
Machine_814,75.8,299,0
Machine_815,65.74,222,1
Machine_816,38.68,190,0
Machine_817,82.04,118,1
Machine_818,23.49,265,1
Machine_819,79.58,205,0
Machine_820,76.42,211,0
Machine_821,84.91,165,0
Machine_822,50.89,277,1
Machine_823,73.1,128,1
Machine_824,85.66,156,0
Machine_825,98.47,172,0
Machine_826,59.63,182,1
Machine_827,22.96,145,0
Machine_828,60.18,182,0
Machine_829,67.21,177,0
Machine_830,89.58,136,1
Machine_831,89.94,280,1
Machine_832,55.22,192,1
Machine_833,62.08,275,0
Machine_834,56.55,208,0
Machine_835,77.8,170,0
Machine_836,52.8,177,1
Machine_837,72.38,92,0
Machine_838,32.35,224,0
Machine_839,57.56,232,1
Machine_840,97.54,206,0
Machine_841,47.08,104,0
Machine_842,75.42,178,1
Machine_843,71.99,51,1
Machine_844,88.14,177,1
Machine_845,88.19,70,1
Machine_846,88.75,207,1
Machine_847,50.4,256,1
Machine_848,45.33,161,1
Machine_849,77.5,275,1
Machine_850,80.75,139,0
Machine_851,89.79,133,0
Machine_852,22.87,168,0
Machine_853,25.47,169,0
Machine_854,70.49,100,0
Machine_855,93.67,85,0
Machine_856,99.79,152,0
Machine_857,79.74,154,0
Machine_858,54.72,55,1
Machine_859,27.88,145,1
Machine_860,70.7,149,1
Machine_861,89.81,56,1
Machine_862,55.49,81,0
Machine_863,75.52,241,1
Machine_864,92.27,199,0
Machine_865,23.68,271,1
Machine_866,83.69,81,1
Machine_867,43.47,100,1
Machine_868,49.99,32,1
Machine_869,31.65,110,0
Machine_870,62.49,238,0
Machine_871,65.27,273,0
Machine_872,83.4,274,1
Machine_873,33.6,132,0
Machine_874,26.32,177,0
Machine_875,89.67,194,1
Machine_876,69.58,176,0
Machine_877,39.27,60,0
Machine_878,93.03,75,0
Machine_879,31.45,148,1
Machine_880,56.89,49,1
Machine_881,40.32,119,0
Machine_882,40.43,243,1
Machine_883,20.75,120,1
Machine_884,84.37,48,0
Machine_885,92.1,233,0
Machine_886,74.21,283,1
Machine_887,32.64,125,1
Machine_888,55.34,178,0
Machine_889,47.65,49,0
Machine_890,67.01,34,1
Machine_891,71.12,182,0
Machine_892,53.94,84,0
Machine_893,40.01,201,0
Machine_894,87.62,175,0
Machine_895,35.94,262,0
Machine_896,50.78,298,0
Machine_897,58.66,282,0
Machine_898,38.98,98,0
Machine_899,65.75,288,1
Machine_900,65.98,269,1
Machine_901,99.42,169,0
Machine_902,43.62,128,1
Machine_903,98.24,87,0
Machine_904,72.66,199,0
Machine_905,41.96,113,0
Machine_906,65.27,264,0
Machine_907,74.86,161,1
Machine_908,79.57,125,0
Machine_909,23.92,37,0
Machine_910,68.51,202,1
Machine_911,59.74,181,0
Machine_912,92.33,128,0
Machine_913,42.9,119,1
Machine_914,83.91,237,0
Machine_915,68.57,248,0
Machine_916,48.19,293,1
Machine_917,70.93,197,1
Machine_918,69.67,74,1
Machine_919,74.22,235,0
Machine_920,77.67,78,1
Machine_921,72.73,124,1
Machine_922,87.07,101,0
Machine_923,70.26,274,1
Machine_924,92.27,195,0
Machine_925,71.71,157,0
Machine_926,44.71,33,1
Machine_927,55.27,163,1
Machine_928,66.37,226,1
Machine_929,78.59,150,0
Machine_930,27.21,258,0
Machine_931,43.61,166,0
Machine_932,79.8,198,1
Machine_933,34.05,184,1
Machine_934,30.57,35,1
Machine_935,63.15,163,1
Machine_936,97.72,214,0
Machine_937,62.47,150,0
Machine_938,93.08,61,1
Machine_939,86.44,90,1
Machine_940,40.56,268,0
Machine_941,85.98,187,1
Machine_942,58.55,111,0
Machine_943,84.52,237,0
Machine_944,79.72,287,0
Machine_945,47.1,189,1
Machine_946,29.21,90,1
Machine_947,97.03,181,1
Machine_948,31.26,218,1
Machine_949,97.32,143,1
Machine_950,88.81,142,1
Machine_951,77.94,98,1
Machine_952,98.4,274,1
Machine_953,97.38,108,0
Machine_954,84.37,262,0
Machine_955,49.26,221,1
Machine_956,83.25,242,0
Machine_957,21.11,271,0
Machine_958,62.93,141,1
Machine_959,56.38,156,0
Machine_960,73.83,71,1
Machine_961,73.79,299,1
Machine_962,66.76,258,0
Machine_963,85.79,300,0
Machine_964,95.22,215,0
Machine_965,28.67,69,0
Machine_966,38.71,87,0
Machine_967,22.0,61,1
Machine_968,90.74,288,0
Machine_969,64.91,133,0
Machine_970,93.22,106,1
Machine_971,37.71,114,1
Machine_972,25.06,197,0
Machine_973,85.91,296,0
Machine_974,92.75,256,0
Machine_975,44.18,89,1
Machine_976,52.66,135,1
Machine_977,31.18,280,0
Machine_978,95.7,76,1
Machine_979,44.35,291,0
Machine_980,59.41,258,0
Machine_981,27.78,58,1
Machine_982,90.98,262,1
Machine_983,30.85,97,0
Machine_984,56.29,292,1
Machine_985,73.64,242,0
Machine_986,79.45,263,0
Machine_987,95.68,59,0
Machine_988,53.53,266,0
Machine_989,79.38,187,0
Machine_990,32.36,41,0
Machine_991,53.19,232,1
Machine_992,27.92,160,0
Machine_993,59.15,31,1
Machine_994,52.65,141,0
Machine_995,96.12,67,0
Machine_996,22.62,53,1
